Country/Region,Lat,Long,Total_Cases
Afghanistan,33.0,65.0,13659
Albania,41.1533,20.1683,1099
Algeria,28.0339,1.6596,9134
Andorra,42.5063,1.5218,764
Angola,-11.2027,17.8739,81
Antigua and Barbuda,17.0608,-61.7964,25
Argentina,-38.4161,-63.6167,15419
Armenia,40.0691,45.0382,8676
Australia,-35.4735,149.0124,107
Australia,-33.8688,151.2093,3092
Australia,-12.4634,130.8456,29
Australia,-28.0167,153.4,1058
Australia,-34.9285,138.6007,440
Australia,-41.4545,145.9707,228
Australia,-37.8136,144.9631,1645
Australia,-31.9505,115.8605,585
Austria,47.5162,14.5501,16655
Azerbaijan,40.1431,47.5769,4989
Bahamas,25.0343,-77.3963,102
Bahrain,26.0275,50.55,10449
Bangladesh,23.685,90.3563,42844
Barbados,13.1939,-59.5432,92
Belarus,53.7098,27.9534,40764
Belgium,50.8333,4.0,58061
Benin,9.3077,2.3158,224
Bhutan,27.5142,90.4336,31
Bolivia,-16.2902,-63.5887,8731
Bosnia and Herzegovina,43.9159,17.6791,2485
Brazil,-14.235,-51.9253,465166
Brunei,4.5353,114.7277,141
Bulgaria,42.7339,25.4858,2485
Burkina Faso,12.2383,-1.5616,847
Cabo Verde,16.5388,-23.0418,405
Cambodia,11.55,104.9167,124
Cameroon,3.8480000000000003,11.5021,5436
Canada,53.9333,-116.5765,6979
Canada,49.2827,-123.1207,2562
Canada,37.6489,-122.6655,13
Canada,53.7609,-98.8139,294
Canada,46.5653,-66.4619,128
Canada,53.1355,-57.6604,261
Canada,44.681999999999995,-63.7443,1055
Canada,51.2538,-85.3232,28700
Canada,46.5107,-63.4168,27
Canada,52.9399,-73.5491,50232
Canada,52.9399,-106.4509,641
Central African Republic,6.6111,20.9394,874
Chad,15.4542,18.7322,759
Chile,-35.6751,-71.543,90638
China,31.8257,117.2264,991
China,40.1824,116.4142,593
China,30.0572,107.874,579
China,26.0789,117.9874,358
China,37.8099,101.0583,139
China,23.3417,113.4244,1593
China,23.8298,108.7881,254
China,26.8154,106.8748,147
China,19.1959,109.7453,169
China,39.549,116.1306,328
China,47.861999999999995,127.7615,945
China,33.882,113.61399999999999,1276
China,22.3,114.2,1079
China,30.9756,112.2707,68135
China,27.6104,111.7088,1019
China,44.0935,113.9448,232
China,32.9711,119.455,653
China,27.614,115.7221,937
China,43.6661,126.1923,155
China,41.2956,122.6085,149
China,22.1667,113.55,45
China,37.2692,106.1655,75
China,35.7452,95.9956,18
China,35.1917,108.8701,308
China,36.3427,118.1498,790
China,31.201999999999998,121.4491,672
China,37.5777,112.2922,198
China,30.6171,102.7103,564
China,39.3054,117.323,192
China,31.6927,88.0924,1
China,41.1129,85.2401,76
China,24.974,101.48700000000001,185
China,29.1832,120.0934,1268
Colombia,4.5709,-74.2973,25406
Congo (Brazzaville),-4.0383,21.7587,571
Congo (Kinshasa),-4.0383,21.7587,2833
Costa Rica,9.7489,-83.7534,1022
Cote d'Ivoire,7.54,-5.5471,2750
Croatia,45.1,15.2,2245
Diamond Princess,0.0,0.0,712
Cuba,22.0,-80.0,2005
Cyprus,35.1264,33.4299,942
Czechia,49.8175,15.472999999999999,9196
Denmark,61.8926,-6.9118,187
Denmark,71.7069,-42.6043,13
Denmark,56.2639,9.5018,11593
Djibouti,11.8251,42.5903,2914
Dominican Republic,18.7357,-70.1627,16531
