ObservationDate,Country/Region,Confirmed,Deaths,Recovered
05/28/2020,Afghanistan,13036.0,235.0,1209.0
05/28/2020,Albania,1076.0,33.0,823.0
05/28/2020,Algeria,8997.0,630.0,5277.0
05/28/2020,Andorra,763.0,51.0,681.0
05/28/2020,Angola,74.0,4.0,18.0
05/28/2020,Antigua and Barbuda,25.0,3.0,19.0
05/28/2020,Argentina,14702.0,508.0,4617.0
05/28/2020,Armenia,8216.0,113.0,3287.0
05/28/2020,Australia,7165.0,103.0,6576.0
05/28/2020,Austria,16628.0,668.0,15286.0
05/28/2020,Azerbaijan,4759.0,56.0,3022.0
05/28/2020,Bahamas,101.0,11.0,47.0
05/28/2020,Bahrain,10052.0,15.0,5419.0
05/28/2020,Bangladesh,40321.0,559.0,8425.0
05/28/2020,Barbados,92.0,7.0,76.0
05/28/2020,Belarus,39858.0,219.0,16660.0
05/28/2020,Belgium,57849.0,9388.0,15572.0
05/28/2020,Belize,18.0,2.0,16.0
05/28/2020,Benin,210.0,3.0,134.0
05/28/2020,Bhutan,31.0,0.0,6.0
05/28/2020,Bolivia,8387.0,293.0,738.0
05/28/2020,Bosnia and Herzegovina,2462.0,153.0,1781.0
05/28/2020,Botswana,35.0,1.0,20.0
05/28/2020,Brazil,438238.0,26754.0,177604.0
05/28/2020,Brunei,141.0,2.0,138.0
05/28/2020,Bulgaria,2477.0,134.0,965.0
05/28/2020,Burkina Faso,847.0,53.0,719.0
05/28/2020,Burma,206.0,6.0,126.0
05/28/2020,Burundi,42.0,1.0,20.0
05/28/2020,Cabo Verde,390.0,4.0,155.0
05/28/2020,Cambodia,124.0,0.0,122.0
05/28/2020,Cameroon,5436.0,175.0,1996.0
05/28/2020,Canada,89976.0,6982.0,46961.0
05/28/2020,Central African Republic,755.0,1.0,23.0
05/28/2020,Chad,726.0,65.0,413.0
05/28/2020,Chile,86943.0,890.0,36115.0
05/28/2020,Colombia,24141.0,833.0,6132.0
05/28/2020,Comoros,87.0,2.0,24.0
05/28/2020,Congo (Brazzaville),571.0,19.0,161.0
05/28/2020,Congo (Kinshasa),2660.0,69.0,381.0
05/28/2020,Costa Rica,1000.0,10.0,646.0
05/28/2020,Croatia,2245.0,102.0,2051.0
05/28/2020,Cuba,1983.0,82.0,1734.0
05/28/2020,Cyprus,941.0,17.0,784.0
05/28/2020,Czech Republic,9140.0,319.0,6460.0
05/28/2020,Denmark,11712.0,568.0,10378.0
05/28/2020,Diamond Princess,712.0,13.0,651.0
05/28/2020,Djibouti,2914.0,20.0,1241.0
05/28/2020,Dominica,16.0,0.0,16.0
05/28/2020,Dominican Republic,16068.0,485.0,8952.0
05/28/2020,Ecuador,38471.0,3313.0,18425.0
05/28/2020,Egypt,20793.0,845.0,5359.0
05/28/2020,El Salvador,2194.0,39.0,1002.0
05/28/2020,Equatorial Guinea,1043.0,12.0,165.0
05/28/2020,Eritrea,39.0,0.0,39.0
05/28/2020,Estonia,1851.0,66.0,1574.0
05/28/2020,Eswatini,279.0,2.0,168.0
05/28/2020,Ethiopia,831.0,7.0,191.0
05/28/2020,Fiji,18.0,0.0,15.0
05/28/2020,Finland,6743.0,313.0,5500.0
05/28/2020,France,186364.0,28665.0,67309.0
05/28/2020,Gabon,2431.0,14.0,668.0
